"","X1","adult","belongs_to_collection","budget","genres","homepage","id","imdb_id","original_language","original_title","overview","popularity","poster_path","production_companies","production_countries","release_date","revenue","runtime","spoken_languages","status","tagline","title","video","vote_average","vote_count","year"
"11",11918,"False",NA,9000000,"['Comedy', 'Drama']","http://www.deathatafuneral-themovie.com/",2196,"tt0795368","en","Death at a Funeral","Chaos ensues when a man tries to expose a dark secret regarding a recently deceased patriarch of a dysfunctional British family.",8.832907,"/zV4kwbDckeTMoIsbSt1lsTIZ2in.jpg","[{'name': 'Sidney Kimmel Entertainment', 'id': 737}, {'name': 'Parabolic Pictures', 'id': 1012}, {'name': 'Stable Way Entertainment', 'id': 1013}, {'name': 'Target Media Entertainment', 'id': 1014}, {'name': 'VIP 2 Medienfonds', 'id': 3801}, {'name': 'VIP 1 Medienfonds', 'id': 10760}]","[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}]",2007-02-09,46,90,"[{'iso_639_1': 'en', 'name': 'English'}]","Released","From director Frank Oz comes the story of a family that puts the F U in funeral.","Death at a Funeral","False",6.9,508,2007
"12",8147,"False",NA,4000000,"['Horror', 'Comedy']",NA,747,"tt0365748","en","Shaun of the Dead","Shaun lives a supremely uneventful life, which revolves around his girlfriend, his mother, and, above all, his local pub. This gentle routine is threatened when the dead return to life and make strenuous attempts to snack on ordinary Londoners.",14.902948,"/ssY4EvRvufUZooNq1buRUrW7lCX.jpg","[{'name': 'Universal Pictures', 'id': 33}, {'name': 'Big Talk Productions', 'id': 443}, {'name': 'StudioCanal', 'id': 694}, {'name': 'Film4', 'id': 9349}, {'name': 'Working Title Films', 'id': 10163}, {'name': 'WT2 Productions', 'id': 10462}, {'name': 'De Wolfe Music', 'id': 53047}, {'name': 'Inside Track 2', 'id': 53048}]","[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}, {'iso_3166_1': 'US', 'name': 'United States of America'}, {'iso_3166_1': 'FR', 'name': 'France'}]",2004-04-09,30039392,99,"[{'iso_639_1': 'en', 'name': 'English'}]","Released","A romantic comedy. With zombies.","Shaun of the Dead","False",7.5,2479,2004
"13",2304,"False",NA,0,"['Comedy', 'Drama', 'Romance']",NA,13818,"tt0091188","en","Heartburn","Rachel is a food writer at a New York magazine who meets Washington columnist Mark at a wedding and ends up falling in love with him despite her reservations about marriage. They buy a house, have a daughter, and Rachel thinks they are living happily ever after until she discovers that Mark is having an affair while she is waddling around with a second pregnancy.",16.071191,"/2lEISs6Kj1Gs4svXNWAcYcmXlNA.jpg","[{'name': 'Paramount Pictures', 'id': 4}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1986-07-25,0,108,"[{'iso_639_1': 'en', 'name': 'English'}]","Released",NA,"Heartburn","False",5.9,48,1986
"14",32809,"False",NA,0,"['Comedy', 'Drama']",NA,5900,"tt0116729","nl","De jurk","The story of a summer dress and those who have to do with it, especially the train conductor (played by van Warmerdam, the director). The dress functions as catalyst for the whimsical events, which turns out to be either tragic or hilarious.",0.670145,"/5EuIL9q1tXRXBBussJ2Mbt2yOcM.jpg","[]","[{'iso_3166_1': 'NL', 'name': 'Netherlands'}]",1996-03-21,0,103,"[{'iso_639_1': 'nl', 'name': 'Nederlands'}]","Released",NA,"The Dress","False",7,3,1996
"15",2591,"False","{'id': 2806, 'name': 'American Pie Collection', 'poster_path': '/twY1eM88fu8CCGVtem5ItlrgeDA.jpg', 'backdrop_path': '/3ptXtaqzAZlMXn3nZxaYke4anmK.jpg'}",11000000,"['Comedy', 'Romance']",NA,2105,"tt0163651","en","American Pie","At a high-school party, four friends find that losing their collective virginity isn't as easy as they had thought. But they still believe that they need to do so before college. To motivate themselves, they enter a pact to all ""score."" by their senior prom.",18.344227,"/k40WFAXMRekWEqsjURO3jiWob67.jpg","[{'name': 'Universal Pictures', 'id': 33}, {'name': 'Summit Entertainment', 'id': 491}, {'name': 'Newmarket Capital Group', 'id': 506}, {'name': 'Zide-Perry Productions', 'id': 3169}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1999-07-09,235483004,95,"[{'iso_639_1': 'en', 'name': 'English'}]","Released","There's nothing like your first piece.","American Pie","False",6.4,2358,1999
"16",5021,"False",NA,75000000,"['Action', 'History', 'War']",NA,10590,"tt0277434","en","We Were Soldiers","The story of the first major battle of the American phase of the Vietnam War and the soldiers on both sides that fought it.",11.34706,"/kjG02l5Nqcgd3ZOb7aMBb9CIIIi.jpg","[{'name': 'Icon Entertainment International', 'id': 4564}, {'name': 'Wheelhouse Entertainment', 'id': 53005}, {'name': 'Motion Picture Production GmbH & Co. Erste KG', 'id': 53006}]","[{'iso_3166_1': 'DE', 'name': 'Germany'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",2002-03-01,114660784,138,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'vi', 'name': 'Tiếng Việt'}, {'iso_639_1': 'fr', 'name': 'Français'}]","Released","400 U.S paratroopers. 4000 Vietnamese soldiers. 12 000 miles away from home. 1 man led them into battle.","We Were Soldiers","False",6.7,531,2002
"17",8194,"False",NA,0,"['Drama', 'Romance']",NA,65550,"tt0048563","en","The Rose Tattoo","A grieving widow embarks on a new romance when she discovers her late husband had been cheating on her.",0.982464,"/lZj7LHX6kUXjoUuZXx4ZFysqx7S.jpg","[{'name': 'Paramount Pictures', 'id': 4}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1955-12-12,0,117,"[{'iso_639_1': 'en', 'name': 'English'}]","Released","The boldest story of love you have ever been permitted to see!  Seething with realism and frankness!","The Rose Tattoo","False",6.4,10,1955
"18",7315,"False","{'id': 205977, 'name': 'The Kingdom', 'poster_path': '/dkLr1dHWgJrxcSdOuZssDkYTeyg.jpg', 'backdrop_path': None}",0,"['Horror', 'Mystery']",NA,22137,"tt0108906","da","Riget","The first part of a Danish miniseries that has been edited into two massive films, ""Riget"" is set in the neurosurgical ward of Copenhagen's Rigshospitalet, the city and country's main hospital, nicknamed ""Riget"". The show follows a number of characters, both staff and patients, as they encounter bizarre phenomena, both human and supernatural.",5.230666,"/d0clQ5e8B7NbSTKHmkNEGlPFyqp.jpg","[{'name': 'Zentropa', 'id': 8109}]","[{'iso_3166_1': 'DK', 'name': 'Denmark'}]",1994-11-23,0,273,"[{'iso_639_1': 'da', 'name': 'Dansk'}, {'iso_639_1': 'it', 'name': 'Italiano'}, {'iso_639_1': 'sv', 'name': 'svenska'}]","Released",NA,"The Kingdom","False",8,62,1994
"19",275,"False",NA,5500000,"['Comedy', 'Drama']",NA,38722,"tt0113896","en","My Family","Traces over three generations an immigrant family's trials, tribulations, tragedies, and triumphs. Maria and Jose, the first generation, come to Los Angeles, meet, marry, face deportation all in the 1930's. They establish their family in East L.A., and their children Chucho, Paco, Memo, Irene, Toni, and Jimmy deal with youth culture and the L.A. police in the 50's. As the second generation become adults in the 60's, the focus shifts to Jimmy, his marriage to Isabel (a Salvadorian refugee), their son, and Jimmy's journey to becoming a responsible parent.",3.121288,"/wDV4MCBmmTdgNQTv2tYbQg5diaB.jpg","[{'name': 'American Zoetrope', 'id': 70}, {'name': 'American Playhouse', 'id': 3906}, {'name': 'Majestic Films International', 'id': 20928}, {'name': 'Newcomb Productions', 'id': 89873}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1995-05-03,0,128,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'es', 'name': 'Español'}]","Released","Three generations of dreams.","My Family","False",7,11,1995
"20",7270,"False",NA,20000000,"['Music', 'Comedy', 'Crime']",NA,15673,"tt0345074","en","Connie and Carla","After accidentally witnessing a mafia hit in the Windy City, gal pals Connie and Carla skip town for L.A., where they go way undercover as singers working the city's dinner theater circuit ... as drag queens. Now, it's not enough that they become big hits on the scene; things get extra-weird when Connie meets Jeff -- a guy she'd like to be a woman with",9.502332,"/o5NTGa9WajYbWhaJEBmKo7J1GsR.jpg","[{'name': 'Universal Pictures', 'id': 33}, {'name': 'Spyglass Entertainment', 'id': 158}, {'name': 'Epsilon Motion Pictures', 'id': 1171}, {'name': 'CCLA Productions', 'id': 95595}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2004-04-16,11341016,98,"[{'iso_639_1': 'en', 'name': 'English'}]","Released","When you follow your dream, there's no telling what you'll become.","Connie and Carla","False",6.4,24,2004
"21",11056,"False",NA,0,"['Documentary', 'Music']",NA,20604,"tt0478209","en","Metal: A Headbanger's Journey","The film discusses the traits and originators of some of metal's many subgenres, including the New Wave of British Heavy Metal, power metal, Nu metal, glam metal, thrash metal, black metal, and death metal. Dunn uses a family-tree-type flowchart to document some of the most popular metal subgenres. The film also explores various aspects of heavy metal culture.",1.905009,"/Ai5Hf9GGA0TqwkCupQYUgQYXxRn.jpg","[{'name': 'Banger Productions', 'id': 3414}]","[{'iso_3166_1': 'CA', 'name': 'Canada'}]",2005-09-14,0,91,"[{'iso_639_1': 'en', 'name': 'English'}]","Released",NA,"Metal: A Headbanger's Journey","False",7.8,41,2005
"22",19901,"False",NA,0,"['Animation', 'Family', 'Romance']","http://www.disneyanimation.com/projects/shorts/paperman/",140420,"tt2388725","en","Paperman","An urban office worker finds that paper airplanes are instrumental in meeting a girl in ways he never expected.",7.198633,"/3TpMBcAYH4cxCw5WoRacWodMTCG.jpg","[{'name': 'Walt Disney Pictures', 'id': 2}, {'name': 'Walt Disney Animation Studios', 'id': 6125}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2012-11-02,0,7,"[{'iso_639_1': 'en', 'name': 'English'}]","Released","Delicate, charming and sweet.","Paperman","False",8,734,2012
"23",2806,"False",NA,1800000,"['Western']",NA,4929,"tt0061747","en","Hang 'em High","Marshall Jed Cooper survives a hanging, vowing revenge on the lynch mob that left him dangling. To carry out his oath for vengeance, he returns to his former job as a lawman. Before long, he's caught up with the nine men on his hit list and starts dispensing his own brand of Wild West justice.",7.266576,"/qnOknsL20MuvQfQDtG7zWTmPB4o.jpg","[{'name': 'United Artists', 'id': 60}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1968-07-31,6800000,114,"[{'iso_639_1': 'en', 'name': 'English'}]","Released","The hanging was the best show in town. But they made two mistakes. They hung the wrong man and they didn't finish the job!","Hang 'em High","False",6.7,197,1968
"24",24543,"False",NA,0,"['Action', 'Animation', 'Family', 'Fantasy', 'Science Fiction']",NA,14830,"tt0910865","en","Doctor Strange","Dr. Stephen Strange embarks on a wondrous journey to the heights of a Tibetan mountain, where he seeks healing at the feet of the mysterious Ancient One.",10.025137,"/3Me8mLOOizc3xElFi8jIoUpw1JM.jpg","[{'name': 'Marvel Studios', 'id': 420}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2007-08-14,0,76,"[{'iso_639_1': 'en', 'name': 'English'}]","Released",NA,"Doctor Strange","False",6.6,74,2007
"25",9539,"False",NA,0,"['Drama', 'Romance', 'Crime']",NA,1280,"tt0423866","ko","빈집","A young man, whose only possession is a motorcycle, spends his time riding around the city looking for empty apartments. After finding one, he hangs out for a while, fixing himself something to eat, washing laundry or making small repairs in return. He always tries to leave before the owners get back but in one ostensibly empty mansion he meets the abused wife of a rich man and she escapes with him...",12.949881,"/hr8ghKbdo3UGUROYafpN38Sohfe.jpg","[{'name': 'Kim Ki-Duk Film', 'id': 684}, {'name': 'Cineclick Asia', 'id': 685}]","[{'iso_3166_1': 'KR', 'name': 'South Korea'}, {'iso_3166_1': 'JP', 'name': 'Japan'}]",2004-10-15,0,88,"[{'iso_639_1': 'ko', 'name': '한국어/조선말'}]","Released",NA,"3-Iron","False",7.7,225,2004
"26",3303,"False",NA,0,"['Comedy', 'Drama']",NA,36739,"tt0096054","en","School Daze","In the South of the United States are taking place confrontations between two groups of students who have different ideas and are not able to accept the one of the oponent.",6.25967,"/850d9u0a2NlY0eKoS1Ny6Cm6jaQ.jpg","[{'name': 'Columbia Pictures', 'id': 5}, {'name': '40 Acres & A Mule Filmworks', 'id': 4319}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1988-02-12,0,121,"[{'iso_639_1': 'en', 'name': 'English'}]","Released",NA,"School Daze","False",6.1,27,1988
"27",37926,"False","{'id': 393379, 'name': 'The Huntsman Collection', 'poster_path': '/qQ3vWrNroNSJyPGRjsrgzNghTux.jpg', 'backdrop_path': '/xZWmMCp9DwKlcu2yEzVFN7ggpGu.jpg'}",115000000,"['Action', 'Adventure', 'Drama']","http://www.thehuntsmanmovie.com/",290595,"tt2381991","en","The Huntsman: Winter's War","As two evil sisters prepare to conquer the land, two renegades—Eric the Huntsman, who aided Snow White in defeating Ravenna in Snowwhite and the Huntsman, and his forbidden lover, Sara—set out to stop them.",17.260203,"/b77l5vmp6PYsc98LE6Uf1mXtmHh.jpg","[{'name': 'Universal Pictures', 'id': 33}, {'name': 'Perfect World Pictures', 'id': 10338}, {'name': 'Roth Films', 'id': 16314}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2016-04-06,164602163,114,"[{'iso_639_1': 'en', 'name': 'English'}]","Released","The story before Snow White","The Huntsman: Winter's War","False",6,1575,2016
"28",1390,"False","{'id': 393564, 'name': ""McHale's Navy Collection"", 'poster_path': None, 'backdrop_path': None}",0,"['Action', 'Comedy', 'Romance']",NA,14908,"tt0119640","en","McHale's Navy","Retired Lieutenant Commander Quinton McHale spends his days puttering around the Caribbean in the old PT-73 selling homebrew, ice cream, and swimsuit calendars. He's brought out of retirement when his old nemesis turned the second best terrorist in the world, Major Vladikov, takes over the island of San Moreno and starts building a nuclear launch silo on it. With help from his old crew and hindrances from Captain Wallace B. Binghampton, who sank a cruise liner a while back, McHale tries to put Vladikov out of business.",2.705804,"/nPT7TBckS0YWugsgNmcFJoiYRpH.jpg","[{'name': 'Universal Pictures', 'id': 33}, {'name': 'The Bubble Factory', 'id': 27128}, {'name': 'Sheinberg Productions', 'id': 38664}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1997-04-18,4529843,108,"[{'iso_639_1': 'en', 'name': 'English'}]","Released","He's Under Siege and Out-of-Control.","McHale's Navy","False",4.4,27,1997
"29",937,"False",NA,0,"['Romance', 'Western']",NA,22356,"tt0039152","en","Angel and the Badman","Notorious shootist and womanizer Quirt Evans' horse collapses as he passes a Quaker family's home. Quirt has been wounded, and the kindly family takes him in to nurse him back to health against the advice of others. The handsome Evans quickly attracts the affections of their beautiful daughter, Penelope. He develops an affection for the family, but his troubled past follows him.",8.08426,"/vaCxZA4g3aM3r0ouCTvOBaM5frv.jpg","[{'name': 'Republic Pictures', 'id': 1432}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1947-02-15,0,100,"[{'iso_639_1': 'en', 'name': 'English'}]","Released","He lived only for revenge...She lived only for his love!","Angel and the Badman","False",6.6,27,1947
"30",10792,"False",NA,50000,"['Horror', 'Thriller', 'Fantasy']","http://www.cthulhulives.org/cocmovie/index.html",20981,"tt0478988","en","The Call of Cthulhu","A dying professor leaves his great-nephew a collection of documents pertaining to the Cthulhu Cult. The nephew begins to learn why the study of the cult so fascinated his grandfather. Bit-by-bit he begins piecing together the dread implications of his grandfather's inquiries, and soon he takes on investigating the Cthulhu cult as a crusade of his own.",3.324295,"/odR6C8c7OqoD2ZF74wwjygHwACG.jpg","[{'name': 'HPLHS', 'id': 17827}]","[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}]",2005-01-01,0,47,"[{'iso_639_1': 'en', 'name': 'English'}]","Released",NA,"The Call of Cthulhu","False",6.9,41,2005
"31",5887,"False",NA,0,"['Music', 'Comedy']",NA,15278,"tt0106500","en","CB4","A ""rockumentary"", covering the rise to fame of MC Gusto, Stab Master Arson, and Dead Mike: members of the rap group ""CB4"". We soon learn that these three are not what they seem and don't apear to know as much about rap music as they claim... but a lack of musical ability in an artist never hurts sales, does it? You've just got to play the part of a rap star...",11.449373,"/fdRQvWe6qbOqa5xQJYTAdA0tX28.jpg","[{'name': 'Universal Pictures', 'id': 33}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1993-03-12,17953778,89,"[{'iso_639_1': 'en', 'name': 'English'}]","Released","Sex, rap and family values?","CB4","False",6.2,43,1993
"32",250,"False",NA,14000000,"['Drama', 'Romance']",NA,87729,"tt0113463","en","Jefferson in Paris","His wife having recently died, Thomas Jefferson accepts the post of United States ambassador to pre-revolutionary France, though he finds it difficult to adjust to life in a country where the aristocracy subjugates an increasingly restless peasantry. In Paris, he becomes smitten with cultured artist Maria Cosway, but, when his daughter visits from Virginia accompanied by her attractive slave, Sally Hemings, Jefferson's attentions are diverted.",1.596058,"/qKr3Mgo1HB3HkGTAVoVEpOSWlp2.jpg","[{'name': 'Merchant Ivory Productions', 'id': 2370}, {'name': 'Touchstone Pictures', 'id': 9195}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1995-03-31,2474000,139,"[{'iso_639_1': 'en', 'name': 'English'}]","Released","A powerful man torn between his love for one woman and his secret desire for another.","Jefferson in Paris","False",5.2,10,1995
"33",2491,"False",NA,66000000,"['Romance', 'Drama', 'Mystery']","http://www.foxmovies.com.au/entrapment",1844,"tt0137494","en","Entrapment","Two thieves, who travel in elegant circles, try to outsmart each other and, in the process, end up falling in love.",10.62333,"/6IKmjW52qeMXx8xXMdX6RRshmY0.jpg","[{'name': 'Fountainbridge Films', 'id': 414}, {'name': 'Regency Enterprises', 'id': 508}]","[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",1999-04-29,212404396,112,"[{'iso_639_1': 'en', 'name': 'English'}]","Released","The trap is set.","Entrapment","False",6,613,1999
"34",5847,"False",NA,0,"['Drama', 'History']",NA,4435,"tt0249371","hi","अशोक","In India, about 260 BC in the Empire of Magadha, the Prince Asoka (Shah Rukh Khan) survives to many betrayals of his brothers, leaded by the evil Susima (Ajit Kumar), who wants to kill him to inherit the throne. His mothers orders Asoka to leave Magadha, and while traveling, he meets Princess Kaurwaki (Karriena Kapoor) and her brother, Prince Aryan (Sooraj Balaji) from Kalinga, who are undercover and protected by General Bheema (Rahul Dev). Asoka and Kaurwaki falls in love for each other, but the mother of Asoka calls him back to Magadha. When he returns, he does not find Kaurwaki, who was attacked by traitors of Kalinga. When Asoka's mother is killed by a man of Susima, Asoka becomes mad, kills all his evil brothers but Sugatra, who escapes to Kalinga. Asoka decides to conquer Kalinga, but in the end, he concludes that he has not built an empire, but conquered only corpses and destroyed everything, and he decides to spread love and the Buddhism.",1.484908,"/gd6yxgNJigLzyJ5tNQee20gpXNH.jpg","[{'name': 'Dreamz Unlimited', 'id': 1570}]","[{'iso_3166_1': 'IN', 'name': 'India'}]",2001-09-13,1.9e+07,155,"[{'iso_639_1': 'hi', 'name': 'हिन्दी'}]","Released","Only the dead have seen the end of war","Asoka","False",5.8,28,2001
